# id: cet4-core
# title: CET-4 重点词
# exam: CET-4
# track: Core Vocabulary
# description: 基于公开词表整理的 CET-4 重点词，用于速刷与拼写回忆。
# accent: amber
kind	term	pronunciation	meaning	phrases	example	tags
word	abandon	[əˈbændən]	vt.丢弃；放弃，抛弃		Try to recall "abandon" before checking the answer.	core,official
word	ability	[əˈbiliti]	n.能力；能耐，本领		Try to recall "ability" before checking the answer.	core,official
word	able	[ˈeibl]	a.有能力的；出色的		Try to recall "able" before checking the answer.	core,official
word	abnormal	[æbˈnɔːməl]	a.不正常的；变态的		Try to recall "abnormal" before checking the answer.	core,official
word	aboard	[əˈbɔːd]	ad.在船(车)上；上船		Try to recall "aboard" before checking the answer.	core,official
word	about	[ˈəbaut]	prep.关于；在…周围		Try to recall "about" before checking the answer.	core,official
word	above	[əˈbʌv]	prep.在…上面；高于		Try to recall "above" before checking the answer.	core,official
word	abroad	[əˈbrɔːd]	ad.(在)国外；到处		Try to recall "abroad" before checking the answer.	core,official
word	absence	[ˈæbsəns]	n.缺席，不在场；缺乏		Try to recall "absence" before checking the answer.	core,official
word	absent	[ˈæbsənt]	a.不在场的；缺乏的		Try to recall "absent" before checking the answer.	core,official
word	absolute	[ˈæbsəluːt]	a.绝对的；纯粹的		Try to recall "absolute" before checking the answer.	core,official
word	absolutely	[ˈæbsəluːtli]	ad.完全地；绝对地		Try to recall "absolutely" before checking the answer.	core,official
word	absorb	[əbˈsɔːb]	vt.吸收；使专心		Try to recall "absorb" before checking the answer.	core,official
word	abstract	[ˈæbstrækt]	a.抽象的 n.摘要		Try to recall "abstract" before checking the answer.	core,official
word	abundant	[əˈbʌndənt]	a.丰富的；大量的		Try to recall "abundant" before checking the answer.	core,official
word	abuse	[əˈbjuːz]	vt.滥用；虐待 n.滥用		Try to recall "abuse" before checking the answer.	core,official
word	academic	[ˌækəˈdemik]	a.学院的；学术的		Try to recall "academic" before checking the answer.	core,official
word	academy	[əˈkædəmi]	n.私立中学；专科院校		Try to recall "academy" before checking the answer.	core,official
word	accelerate	[ækˈseləreit]	vt.(使)加快；促进		Try to recall "accelerate" before checking the answer.	core,official
word	acceleration	[ækˌseləˈrei∫ən]	n.加速(度)		Try to recall "acceleration" before checking the answer.	core,official
word	accent	[ˈæksənt]	n.口音，腔调；重音		Try to recall "accent" before checking the answer.	core,official
word	accept	[əkˈsept]	vt.vi.接受；同意		Try to recall "accept" before checking the answer.	core,official
word	acceptable	[əkˈseptəbl]	a.可接受/合意的		Try to recall "acceptable" before checking the answer.	core,official
word	acceptance	[əkˈseptəns]	n.接受，验收；承认		Try to recall "acceptance" before checking the answer.	core,official
word	access	[ˈækses]	n.接近；通道，入口		Try to recall "access" before checking the answer.	core,official
word	accessory	[ækˈsesəri]	n.同谋，从犯；附件		Try to recall "accessory" before checking the answer.	core,official
word	accident	[ˈæksidənt]	n.意外的；事故		Try to recall "accident" before checking the answer.	core,official
word	accidental	[ˌæksiˈdentl]	a.偶然的；非本质的		Try to recall "accidental" before checking the answer.	core,official
word	accommodate	[əˈkɔmədeit]	vt.容纳;供应,供给		Try to recall "accommodate" before checking the answer.	core,official
word	accommodation	[əˌkɔməˈdei∫ən]	n.招待设备；预定铺位		Try to recall "accommodation" before checking the answer.	core,official
word	accompany	[əˈkʌmpəni]	vt.陪伴，陪同；伴随		Try to recall "accompany" before checking the answer.	core,official
word	accomplish	[əˈkɔmpli∫]	vt.达到(目的)；完成		Try to recall "accomplish" before checking the answer.	core,official
word	accord	[əˈkɔːd]	vt.使一致；给予		Try to recall "accord" before checking the answer.	core,official
word	accordance	[əˈkɔːdəns]	n.一致；和谐；授予		Try to recall "accordance" before checking the answer.	core,official
word	accordingly	[əˈkɔːdiŋli]	ad.因此，所以；照着		Try to recall "accordingly" before checking the answer.	core,official
word	account	[əˈkaunt]	n.记述；解释；帐目		Try to recall "account" before checking the answer.	core,official
word	accumulate	[əˈkjuːmjuleit]	vt.积累 vi.堆积		Try to recall "accumulate" before checking the answer.	core,official
word	accuracy	[ˈækjurəsi]	n.准确(性)；准确度		Try to recall "accuracy" before checking the answer.	core,official
word	accurate	[ˈækjurit]	a.准确的，正确无误的		Try to recall "accurate" before checking the answer.	core,official
word	accuse	[əˈkjuːz]	vt.指责；归咎于		Try to recall "accuse" before checking the answer.	core,official
word	accustom	[əˈkʌstəm]	vt.使习惯		Try to recall "accustom" before checking the answer.	core,official
word	accustomed	[əˈkʌstəmd]	a.惯常的；习惯的		Try to recall "accustomed" before checking the answer.	core,official
word	ache	[eik]	vi.痛；想念 n.疼痛		Try to recall "ache" before checking the answer.	core,official
word	achieve	[əˈt∫iːv]	vt.完成，实现；达到		Try to recall "achieve" before checking the answer.	core,official
