# id: cet6-core
# title: CET-6 重点词
# exam: CET-6
# track: Core Vocabulary
# description: 基于公开词表整理的 CET-6 重点词，用于进阶强化与冲刺。
# accent: cobalt
kind	term	pronunciation	meaning	phrases	example	tags
word	abandon	[əˈbændən]	v. 1. 抛弃，放弃 2. 离弃(家园、船只、飞机等) 3. 遗弃(妻、子女等)		Try to recall "abandon" before checking the answer.	core,official
word	abnormal	[æbˈnɔːməl]	adj. 不正常的		Try to recall "abnormal" before checking the answer.	core,official
word	abolish	[əˈbɒlɪʃ]	n. 废除，消除 v. 废除，取消		Try to recall "abolish" before checking the answer.	core,official
word	abortion	[әˈbɒːʃәn]	n. 1. 流产，小产，堕胎 2. (计划、工程等的)中途失败;中止，中辍的计划		Try to recall "abortion" before checking the answer.	core,official
word	abrupt	[əˈbrʌpt]	adj. 1. 突然的，出其 不意的 2. 陡峭的 3. 粗鲁的，无礼的		Try to recall "abrupt" before checking the answer.	core,official
word	absence	[ˈæbsəns]	n. 1. 缺席 2. 缺乏，不存在		Try to recall "absence" before checking the answer.	core,official
word	absorb	[əbˈsɔːb]	v. 1. 吸收(水、热、光等) 2. 吸引(注意)，使专心，使全神贯注		Try to recall "absorb" before checking the answer.	core,official
word	abstract	[ˈæbstrækt]	adj. 抽象的 n. 摘要，概括 v. 1. 提取，抽取 2. 摘录…的要点 3. 转移…(注意等)		Try to recall "abstract" before checking the answer.	core,official
word	absurd	[əbˈsɜːd]	adj. 不合理的，荒谬的，可笑的		Try to recall "absurd" before checking the answer.	core,official
word	abundance	[əˈbʌndəns]	n. 丰富，充裕，大量		Try to recall "abundance" before checking the answer.	core,official
word	abundant	[əˈbʌndənt]	adj. 大量的，充裕的，丰富的 || be abundant in, be abundant with 有丰富的，有大量的		Try to recall "abundant" before checking the answer.	core,official
word	abuse	[əˈbjuːz]	v. 1. 辱骂，咒骂 2. 滥用，妄用 3. 虐待 [əˈbjuːs] n. 1. 辱骂，咒骂 2. 滥用，妄用 3. 虐待 4. 弊病，恶习		Try to recall "abuse" before checking the answer.	core,official
word	academic	[ˌækəˈdemɪk]	adj. 1. 学校的，学院的 2. 学者式的，非实用的 3. 学术的		Try to recall "academic" before checking the answer.	core,official
word	accelerate	[əkˈseləreɪt]	v. (使)加速		Try to recall "accelerate" before checking the answer.	core,official
word	acceptance	[əkˈseptəns]	n. 接受，领受		Try to recall "acceptance" before checking the answer.	core,official
word	access	[ˈækses]	n. 1. (接近或进入某地的)方法，通路 2. (使用某物或接近某人的)机会或权利 v. 存取(计算机文件)		Try to recall "access" before checking the answer.	core,official
word	accessory	[əkˈsesərɪ]	n. 附属品，附件		Try to recall "accessory" before checking the answer.	core,official
word	accident	[ˈæksɪdənt]	n. 意外事件 || by accident偶然地 /without accident平安无事地		Try to recall "accident" before checking the answer.	core,official
word	accommodate	[əˈkɒmədeɪt]	v. 1. 容纳，接纳，提供…住宿 2. 使适应，使适合，调节 3. 帮助解决(困难)		Try to recall "accommodate" before checking the answer.	core,official
word	accommodation	[əˌkɒməˈdeɪʃən]	n. (usu pl) 住宿等条件，设施		Try to recall "accommodation" before checking the answer.	core,official
word	accomplish	[əˈkʌmplɪʃ]	v. 完成，实现，达到(目的)		Try to recall "accomplish" before checking the answer.	core,official
word	accord	[əˈkɔːd]	v. 符合，一致 n. 协调，一致 || of one’s own accord自愿地，自动地		Try to recall "accord" before checking the answer.	core,official
word	accordance	[əˈkɔːdəns]	n. 符合，一致 || in accordance with根据		Try to recall "accordance" before checking the answer.	core,official
word	account	[əˈkaʊnt]	n. 1. 账，账目，账户 2. 报道，记载，叙述 3. 原因，理由 || on account of 因为 /take into account考虑，重视		Try to recall "account" before checking the answer.	core,official
word	accumulate	[əˈkjʊːmjʊleɪt]	v. 积蓄，积累		Try to recall "accumulate" before checking the answer.	core,official
word	accurate	[ˈækjʊrət]	adj. 准确的，精确的		Try to recall "accurate" before checking the answer.	core,official
